index,部屋,風呂,料理（朝食）,料理（夕食）,接客・サービス,清潔感,見出し,本文
0,3,4,5,2,5,3,普通,クチコミを読んで楽しみに期待が高かったかもしれない、部屋は狭かったです。夕食はレストランで食べましたが、サービスはよかったです。夕食は和食とおだわら御膳を選べました、天ぷらと茶碗蒸しは温かった、海鮮丼も美味しくなかった(どちでもいまいちでした今回の宿泊はハズレ。残念でした)朝食バイキングはよかったです。
1,4,5,5,4,4,4,お風呂がよかったです！,別館の和洋室に泊まりました。本館と比べて少し古い作りではありましたが、綺麗に清掃されていました。食事は朝夕どちらもレストランでの食事でしたが、子どもも小学生になったので、個室でなくても問題ありませんでした。子どもたちはバイキングが初めてだったので、凄く嬉しかったようです。夕飯は全員同じものを選びましたが、分けても良かったかなと思いました。しゃぶしゃぶはボリューム満点でした！お風呂は広くてのんびり浸かることができました。脱衣所も凄く清潔でよかったです！お部屋にあった浴衣に穴があいていたのが残念でしたが、総合的に見てとてもよいホテルでした！
2,5,5,4,4,5,5,家族で,家族で3回目の利用です。部屋もお風呂も食事も申し分ないですが…子供の食事をもう少し改善してくれたらいいなと思います。小学生の食事が大人の食事と同じ内容であまり食べれないかなと。幼児の食事の内容と量くらいでも全然いいと思うし…幼児の食事は逆に量が多すぎでいつも残してしまいます。あと、幼児の食事は冷凍食品？というものが多すぎるかなと。。いろいろ書きましたが、トータルは全然良い宿だと思います
3,5,4,1,2,3,4,義家族との旅行,義家族との旅行でこちらの口コミが高評価であり、写真も良かった為選びました。お部屋はとても綺麗で露天風呂付きだったので、子ども達も大喜びでした！露天風呂も大きくて子ども達と入ることが出来て良かったです。食事は全体的に冷めている印象でした。出してくれたお魚も冷たくて固くて食べれませんでした。朝食のフルーツも食べませんでした。子どもがテーブルの座る位置をママの隣がいいから変えたいと初めに言い出し、その旨を伝えると1人の男性スタッフさんは少しだるそうな感じでした（はじめから席順が決められてお料理が並べられていたので私も席の指定をすればよかったのかも知れません）けれど、もう1人の違う男性スタッフさんはとても親切で優しい話し方の方で良かったです。部屋の案内をしてくださった男性スタッフさんは友達感覚の軽い話し方だったので、義両親向きではなかったと思います。バスタオルの2枚目からの追加料金や、子どもの浴衣も有料でしたので着替えやタオルを持参がオススメします。安いお金ではなかったので、色々と残念なところがありました。リピートはしません。
4,5,5,5,5,5,5,部屋、お風呂、料理、接客、全てがとても良い。,4/12にお部屋に露天風呂付きのプランで宿泊しました。ホテルの入り口からスタッフが出迎えてくれて、車はスタッフが駐車してくれ、荷物を部屋まで運んでくれます。その後スタッフから部屋の中の案内や、夕飯についての案内があります。お部屋は広く、汚れや臭いもなく清潔で、ベッドの寝心地も良かったです。いつでも温かなお風呂で好きなタイミングで入ることができて、外からの風が心地良かったです。お料理がとても豪華で、見たことがないものばかりだったので、全て「これは何からできてるの？どうやって作ったらこういうものが作れるの？」と考えながら美味しくいただきました。朝食は控えめかと思いきや、お魚の干物、サラダ、茶碗蒸し、小鉢が9つにフルーツもあり、朝からしっかりとボリューミーでした。帰りもスタッフが見送りをしてくれます。総合的にとても良いホテルで大満足です。残念だったのは一部のスタッフで、一人の男性スタッフはキャリーを運ぶ際、持ち手ではなく伸縮レバーを持って運搬しようとしたので、キャリーケースが壊れる心配をしたのと、帰り際にたくさんのスタッフが頭を下げて見送ってくれる中、一人の男性スタッフがだるそうに雑な対応をしてきたことでした。勧めたい、また行きたいと思えるホテルでした。
5,4,4,5,5,5,4,ご飯が最高でした！,夕飯も朝食もとても美味しく大満足でした。子供達も大喜び！温泉も大変気持ちよく、特に脱衣所はとても綺麗でした。スタッフさんも親切な方ばかりでまた利用したいと思いました。ありがとうございました。
6,5,5,5,4,5,5,くつろげました,久しぶりに利用しました。館内はいくつかリニューアルされていて清潔感が増したようです。驚いたのは大浴場。脱衣ロッカーにスリッパ収納スペースを設けてくれたのは嬉しいです。
7,5,5,5,4,4,5,記念日旅行に応えてくれる宿,結婚記念日旅行で利用しました。宿泊日前日に無理を承知でメールでホールケーキをお願いしたら、事情を問合せがあり、無事にお願い出来ました。当日の夕食時にはサービス料理が振舞われ妻も大変感動致しました。温泉付きの部屋でしたが、部屋だけでなく大浴場を含めホテル全体に清掃が行き届き快適に過ごす事が出来ました。次回も利用したいと思います。
8,5,5,4,4,4,5,温泉に癒されました。,3年くらい前に利用させていただき、とても良かったので再訪しました。前回と同様、客室露天風呂付きのプランで利用しました。お部屋は清潔感がありとても綺麗で、客室露天も源泉掛け流しでとても良かったです。お風呂に入って、ベランダで涼んでまたお風呂入ってが出来て最高でした。従業員の方の対応も丁寧で良かったです。冷たいドリンクが飲みたくなり、製氷機があるとの事で、氷を取りに製氷機のところまで行ったのですが、袋などが置いておらず部屋も少し離れていてまた戻るのが面倒だったため、氷は諦めました。持っていく用の袋などがあると大変ありがたいなと思いました。ご飯も美味しく、温泉がとても良かったのでまた利用させていただきたいです。
9,3,4,-,-,2,4,大部雰囲気が変わりましたね,箱根の旅館としての賑わい、わくわく感とか感じない割り切った宿泊施設にイメージが変わりました。あくまでも個人的な印象です。浴場は改修されて洗い場などがキレイになっていました。マイナスイメージはインバウンドの受け入れが原因？人手不足？夕食は外の施設で川床料理。朝食は提供時間前に出発でしたので放棄。
10,5,5,3,1,5,5,サービスが良かったです。,２回目の利用になります。今回は0歳児を連れて初めての旅行で利用させて頂きました。赤ちゃん用の椅子やベビーバス等を用意して頂け、家族で楽しい時間を過ごすことができました。また、従業員の方も笑顔で気さくな方々で気持ちが温まりました。ただ、夕食を部屋食のスタンダードなものにしたのですが、量も質もいまいちでした。ホテルの特別感は無く、これだけ？という感じで物足りなかったです。前回は相州牛三昧会席で大変満足のいく内容だっただけに、今回は残念でした。次回利用することがあったら、相州牛三昧会席にしたいと思います。
